w_resnet18,w_resnet50_CE,w_resnet50_MM,val_acc
0.30000000000000004,0.2,0.5,0.9644230769230769
0.4,0.2,0.4,0.9644230769230769
0.4,0.30000000000000004,0.3,0.9644230769230769
0.30000000000000004,0.30000000000000004,0.4,0.9634615384615385
0.6000000000000001,0.4,-0.0,0.9634615384615385
0.5,0.5,0.0,0.9634615384615385
0.30000000000000004,0.4,0.3,0.9634615384615385
0.4,0.4,0.2,0.9634615384615385
0.5,0.4,0.1,0.9634615384615385
0.5,0.30000000000000004,0.2,0.9634615384615385
0.2,0.30000000000000004,0.5,0.9625
0.4,0.5,0.1,0.9625
0.2,0.2,0.6,0.9625
0.2,0.6000000000000001,0.2,0.9625
0.2,0.4,0.4,0.9625
0.2,0.5,0.3,0.9625
0.6000000000000001,0.30000000000000004,0.1,0.9625
0.30000000000000004,0.7000000000000001,-0.0,0.9615384615384616
0.30000000000000004,0.6000000000000001,0.1,0.9615384615384616
0.2,0.1,0.7,0.9615384615384616
0.4,0.6000000000000001,-0.0,0.9615384615384616
0.1,0.9,0.0,0.9615384615384616
0.1,0.8,0.1,0.9615384615384616
0.5,0.2,0.3,0.9615384615384616
0.1,0.30000000000000004,0.6,0.9615384615384616
0.1,0.2,0.7,0.9615384615384616
0.1,0.1,0.8,0.9615384615384616
0.0,1.0,0.0,0.9615384615384616
0.0,0.9,0.1,0.9615384615384616
0.0,0.8,0.2,0.9615384615384616
0.0,0.7000000000000001,0.3,0.9615384615384616
0.0,0.6000000000000001,0.4,0.9615384615384616
0.30000000000000004,0.5,0.2,0.9615384615384616
0.6000000000000001,0.2,0.2,0.9605769230769231
0.2,0.8,0.0,0.9605769230769231
0.7000000000000001,0.30000000000000004,-0.0,0.9605769230769231
0.1,0.5,0.4,0.9605769230769231
0.2,0.7000000000000001,0.1,0.9605769230769231
0.1,0.7000000000000001,0.2,0.9605769230769231
0.1,0.6000000000000001,0.3,0.9605769230769231
0.1,0.4,0.5,0.9605769230769231
0.0,0.30000000000000004,0.7,0.9596153846153846
0.4,0.1,0.5,0.9596153846153846
0.0,0.4,0.6,0.9596153846153846
0.0,0.5,0.5,0.9596153846153846
0.30000000000000004,0.1,0.6,0.9596153846153846
0.0,0.2,0.8,0.9586538461538462
0.5,0.1,0.4,0.9586538461538462
0.8,0.2,-0.0,0.9576923076923077
0.2,0.0,0.8,0.9576923076923077
0.7000000000000001,0.2,0.1,0.9576923076923077
0.30000000000000004,0.0,0.7,0.9567307692307693
0.9,0.1,-0.0,0.9557692307692308
0.6000000000000001,0.1,0.3,0.9557692307692308
0.9,0.0,0.1,0.9557692307692308
0.8,0.0,0.2,0.9557692307692308
0.0,0.1,0.9,0.9557692307692308
0.8,0.1,0.1,0.9548076923076924
1.0,0.0,0.0,0.9548076923076924
0.7000000000000001,0.1,0.2,0.9548076923076924
0.7000000000000001,0.0,0.3,0.9548076923076924
0.6000000000000001,0.0,0.4,0.9548076923076924
0.5,0.0,0.5,0.9548076923076924
0.1,0.0,0.9,0.9538461538461539
0.4,0.0,0.6,0.9528846153846153
0.0,0.0,1.0,0.9432692307692307
