lr,dropout,weighted,val_acc,val_f1
0.0001,0.3,True,0.9432692307692307,0.9437403315568448
0.0001,0.0,False,0.9403846153846154,0.9415809787606334
0.0001,0.2,False,0.9403846153846154,0.9408582184433315
0.0001,0.0,True,0.9394230769230769,0.9402661286289774
0.0001,0.2,True,0.9365384615384615,0.9371698292435514
0.0001,0.3,False,0.9298076923076923,0.9297914972070731
0.001,0.3,True,0.9173076923076923,0.9177421706155242
0.001,0.3,False,0.9009615384615385,0.8994058290246092
0.001,0.2,True,0.8817307692307692,0.8806091872955668
0.001,0.0,False,0.8788461538461538,0.87926647570429
0.001,0.2,False,0.8769230769230769,0.8769674950287287
0.001,0.0,True,0.8759615384615385,0.8746195662964351
1e-05,0.0,True,0.8567307692307692,0.8559169115584886
1e-05,0.2,True,0.8451923076923077,0.844402044298366
1e-05,0.0,False,0.8355769230769231,0.8329615931510983
1e-05,0.3,True,0.8307692307692308,0.8295145326495879
1e-05,0.2,False,0.8298076923076924,0.829721209346505
1e-05,0.3,False,0.8173076923076923,0.8176563553815299
