lr,dropout,weighted,val_acc,val_f1
0.0001,0.2,False,0.9442307692307692,0.9461155113691937
0.0001,0.3,True,0.9403846153846154,0.9409943098304688
0.0001,0.0,False,0.9394230769230769,0.9389165119112046
0.0001,0.0,True,0.9384615384615385,0.938909173243672
0.0001,0.3,False,0.9375,0.9374125905892285
0.0001,0.2,True,0.9355769230769231,0.9365280607138662
1e-05,0.0,False,0.8980769230769231,0.8970553889875028
1e-05,0.0,True,0.8903846153846153,0.8912832753797748
1e-05,0.2,True,0.8807692307692307,0.8806754751580299
1e-05,0.2,False,0.8798076923076923,0.8795906834844283
1e-05,0.3,False,0.8721153846153846,0.8719605416798056
1e-05,0.3,True,0.8673076923076923,0.8672743559711459
0.001,0.2,True,0.8567307692307692,0.8565413499110722
0.001,0.2,False,0.8557692307692307,0.8549870962898134
0.001,0.3,False,0.8509615384615384,0.8527640998938341
0.001,0.0,False,0.8346153846153846,0.8296521411022003
0.001,0.3,True,0.8288461538461539,0.8254987486167273
0.001,0.0,True,0.8115384615384615,0.8074635011012126
