lr,dropout,weighted,val_acc,val_f1
0.0001,0.3,False,0.9519230769230769,0.9524724927233738
0.0001,0.2,False,0.95,0.9506263755227112
0.0001,0.3,True,0.9490384615384615,0.9498176697772713
0.0001,0.0,True,0.948076923076923,0.9492374740570174
0.0001,0.0,False,0.9471153846153846,0.9478221628373745
0.0001,0.2,True,0.9403846153846154,0.9407941534464692
0.001,0.2,False,0.8980769230769231,0.8987065043986335
1e-05,0.0,True,0.8961538461538462,0.8945711568242674
1e-05,0.0,False,0.8942307692307693,0.8934666536350083
0.001,0.3,True,0.8942307692307693,0.89329483096163
0.001,0.0,False,0.8923076923076924,0.893758600061288
0.001,0.0,True,0.8903846153846153,0.8891618181962407
0.001,0.2,True,0.8894230769230769,0.886918791068988
1e-05,0.2,True,0.8875,0.8855922416357243
1e-05,0.3,False,0.8875,0.8854021151949099
0.001,0.3,False,0.8826923076923077,0.8817095724578226
1e-05,0.2,False,0.8798076923076923,0.8763330874380885
1e-05,0.3,True,0.8759615384615385,0.8752141880726247
