Model,Experiment,Val Accuracy,Macro F1,Top-5 Acc
MLP,MLP-A_CrossEntropy_Adam,0.4625,0.4613,0.7337
MLP,MLP-A_CrossEntropy_RMSprop,0.4548,0.4526,0.7346
MLP,MLP-B_CrossEntropy_Adam,0.4269,0.4194,0.7192
MLP,MLP-A_MultiMargin_Adam,0.424,0.4139,0.7212
MLP,MLP-A_MultiMargin_RMSprop,0.4163,0.4076,0.7212
MLP,MLP-B_CrossEntropy_RMSprop,0.4144,0.4008,0.7106
MLP,MLP-B_MultiMargin_RMSprop,0.3385,0.3228,0.6865
MLP,MLP-B_MultiMargin_Adam,0.3375,0.3149,0.6731
